Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7eff1b6407f0>, 'cache_2': <cache.Cache object at 0x7eff1b640f70>, 'cache_1': <cache.Cache object at 0x7eff1b642230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_scatter_traces.out
Begin simulation!
0:	Reading 0x7ffc05b6b2a8
223:	Reading 0x7ffc05b6b1b0
	Writing back block 0x7ffc05b6b1b0 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

224:	Reading 0x7ffc05b6b1b8
	hit_list: {'cache_1': True}	time: 1

225:	Reading 0x7ffc05b6b1d0
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

226:	Reading 0x7ffc05b6b1d8
	hit_list: {'cache_1': True}	time: 1

227:	Reading 0x7ffc05b6b1f0
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

228:	Reading 0x7ffc05b6b1f8
	hit_list: {'cache_1': True}	time: 1

229:	Reading 0x7ffc05b6b208
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

230:	Writing 0x7ffc05b6b3c0
	Writing back block 0x7ffc05b6b3c0 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

231:	Reading 0x7ffc05b6b208
	hit_list: {'cache_1': True}	time: 1

232:	Reading 0x7ffc05b6b3c0
	hit_list: {'cache_1': True}	time: 1

233:	Reading 0x7ffc05b6b208
	hit_list: {'cache_1': True}	time: 1

234:	Writing 0x7ffc05b6b3c8
	hit_list: {'cache_1': True}	time: 1

235:	Reading 0x7ffc05b6b208
	hit_list: {'cache_1': True}	time: 1

236:	Reading 0x7ffc05b6b3c0
	hit_list: {'cache_1': True}	time: 1

237:	Reading 0x7ffc05b6b200
	hit_list: {'cache_1': True}	time: 1

238:	Reading 0x7ffc05b6b208
	hit_list: {'cache_1': True}	time: 1

239:	Writing 0x7ffc05b6b3d0
	hit_list: {'cache_1': False}	time: 1

240:	Reading 0x7ffc05b6b210
	Writing back block 0x7ffc05b6b210 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

241:	Reading 0x7ffc05b6b218
	hit_list: {'cache_1': True}	time: 1

242:	Reading 0x7ffc05b6b248
	Writing back block 0x7ffc05b6b248 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

243:	Reading 0x7ffc05b6b250
	hit_list: {'cache_1': False, 'cache_2': True}	time: 17

244:	Reading 0x7ffc05b6b258
	hit_list: {'cache_1': True}	time: 1

245:	Writing 0x7ffc05b6b258
	hit_list: {'cache_1': True}	time: 1

246:	Writing 0x7ffc05b6b250
	hit_list: {'cache_1': True}	time: 1

247:	Writing 0x7ffc05b6b248
	hit_list: {'cache_1': True}	time: 1

248:	Reading 0x7ffc05b6b248
